fain_id,nf_name,pdf_name,rep_type,rep_date,download_record
43484,"AVALON CARE CENTER - OTHELLO, LLC","Avalon Care Center - Othello (G, CMP, CF) 5 3 19.pdf",Enforcement Letter,May-19,Tue Mar 17 15:24:14 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC","Avalon Care Center - Othello (Hx E, prior D) 8 15 18.pdf",Enforcement Letter,Aug-18,Tue Mar 17 15:24:15 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",R Avalon Care Center- Othello LLC PD8D11 Inspection 5.3.19-NF.pdf,Inspection,Jun-19,Tue Mar 17 15:24:22 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",R Avalon Care Center - Othello LLC complaint HKJH11 6-27-18 em.pdf,Inspection,Sep-18,Tue Mar 17 15:24:25 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",R avalon care center - othello llc i1ye11 survey - hd.pdf,Inspection,Sep-17,Tue Mar 17 15:24:29 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",R Avalon Care Center- Othello R1FW11 complaint 10-1-2019 - KM.pdf,Investigation,Nov-19,Tue Mar 17 15:24:31 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",R Avalon Care Center- Othello LLC H39C11 Complaint 7.23.19-NF.pdf,Investigation,Aug-19,Tue Mar 17 15:24:32 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",AVALON CARE CENTER - OTHELLO LLC VBO312.pdf,Investigation,Sep-18,Tue Mar 17 15:24:33 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC",R Avalon Care Center - Othello LLC complaint VBO311 8-15-18 em.pdf,Investigation,Aug-18,Tue Mar 17 15:24:35 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,Prestige Care Clarkston (Hx E prior D) 6 21 19.pdf,Enforcement Letter,Jul-19,Tue Mar 17 15:24:40 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,"Prestige Care - Clarkston (Hx D prior E, CMP) 5 25 18.pdf",Enforcement Letter,Jun-18,Tue Mar 17 15:24:41 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,"Prestige Clarkston (Past Non J, CMP) 1 26 18.pdf",Enforcement Letter,Feb-18,Tue Mar 17 15:24:42 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,"Prestige Care - Clarkston (Hx D prior E, CMP) 3 17.pdf",Enforcement Letter,Mar-17,Tue Mar 17 15:24:43 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation- Clarkston O0I711 6-21-2019 - nm.pdf,Inspection,Aug-19,Tue Mar 17 15:24:53 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,PRESTIGE CARE & REHABILITATION - CLARKSTON B68Q12.pdf,Inspection,Jun-18,Tue Mar 17 15:24:55 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R PRESTIGE CARE & REHABILITATION - CLARKSTON B68Q11 4-19-18 em.pdf,Inspection,Apr-18,Tue Mar 17 15:24:57 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R PRESTIGE CARE & REHAB - CLARKSTON Survey 03-02-2017 - hd.pdf,Inspection,May-17,Tue Mar 17 15:25:03 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation- Clarkston UMEV11 5-30-2019 - nm.pdf,Investigation,Aug-19,Tue Mar 17 15:25:04 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation - Clarkston G86B11 complaint 03-07-2019 - aa.pdf,Investigation,Apr-19,Tue Mar 17 15:25:06 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation - Clarkston QFD111 complaint 01-09-2019 - aa.pdf,Investigation,Feb-19,Tue Mar 17 15:25:07 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation - Clarkston 38YT11 complaint 10-30-2018 - aa.pdf,Investigation,Nov-18,Tue Mar 17 15:25:08 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,PRESTIGE CARE & REHABILITATION - CLARKSTON I9P712.pdf,Investigation,Jun-18,Tue Mar 17 15:25:09 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care and Rehabilitation - Clarkston I9P711 Complaint 5-25-18 - cc.pdf,Investigation,May-18,Tue Mar 17 15:25:11 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation - Clarkston IN7D11 complaint 08-02-2018 - aa.pdf,Investigation,Apr-18,Tue Mar 17 15:25:12 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation - Clarkston Y11H11 complaint 01-26-2018 - aa.pdf,Investigation,Jan-18,Tue Mar 17 15:25:13 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,R Prestige Care & Rehabilitation - Clarkston - Complaint - 03-27-2017 - hd.pdf,Investigation,May-17,Tue Mar 17 15:25:20 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care of Kennewick (Hx D prior D) 10 23 19.pdf,Enforcement Letter,Dec-19,Tue Mar 17 15:25:25 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (3OOC G, CMP, CF prior D, prior D) 12 18 19.pdf",Enforcement Letter,Dec-19,Tue Mar 17 15:25:27 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care of Kennewick (Hx D prior E) 6 21 19.pdf,Enforcement Letter,Jul-19,Tue Mar 17 15:25:28 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (Hx G, CMP, CF, prior F) 4 15 19.pdf",Enforcement Letter,Apr-19,Tue Mar 17 15:25:29 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care of Kennewick (BIC-Lift SP) 5 31 2018.pdf,Enforcement Letter,Jun-18,Tue Mar 17 15:25:31 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (GG, CF, CMP, SUB, Cont SP) 4 12 18.pdf",Enforcement Letter,Apr-18,Tue Mar 17 15:25:32 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (Hx G prior D, CMP, CF) 8 17.pdf",Enforcement Letter,Aug-17,Tue Mar 17 15:25:33 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (Hx G, prior G, CMP, CF) 3 17.pdf",Enforcement Letter,Mar-17,Tue Mar 17 15:25:34 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care Center of Kennewick 505080 IDR Withdrawal Letter 11-17.pdf,Informal Dispute Resolution Letter,Nov-17,Tue Mar 17 15:25:42 2020
