fain_id,nf_name,pdf_name,rep_type,rep_date,url,download_record
43484,"AVALON CARE CENTER - OTHELLO, LLC","Avalon Care Center - Othello (G, CMP, CF) 5 3 19.pdf",Enforcement Letter,05/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1359/enforcement letter/2019/Avalon Care Center - Othello (G, CMP, CF) 5 3 19.pdf",Tue Jun  9 15:22:46 2020
43484,"AVALON CARE CENTER - OTHELLO, LLC","Avalon Care Center - Othello (Hx E, prior D) 8 15 18.pdf",Enforcement Letter,08/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1359/enforcement letter/2018/Avalon Care Center - Othello (Hx E, prior D) 8 15 18.pdf",Tue Jun  9 15:22:48 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,Prestige Care Clarkston (Hx E prior D) 6 21 19.pdf,Enforcement Letter,07/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1455/enforcement letter/2019/Prestige Care Clarkston (Hx E prior D) 6 21 19.pdf,Tue Jun  9 15:22:56 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,"Prestige Care - Clarkston (Hx D prior E, CMP) 5 25 18.pdf",Enforcement Letter,06/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1455/enforcement letter/2018/Prestige Care - Clarkston (Hx D prior E, CMP) 5 25 18.pdf",Tue Jun  9 15:22:57 2020
43575,PRESTIGE CARE & REHABILITATION - CLARKSTON,"Prestige Clarkston (Past Non J, CMP) 1 26 18.pdf",Enforcement Letter,02/2018,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1455/enforcement letter/2018/Prestige Clarkston (Past Non J, CMP) 1 26 18.pdf",Tue Jun  9 15:22:58 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care of Kennewick (Hx D prior D) 10 23 19.pdf,Enforcement Letter,12/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2019/Life Care of Kennewick (Hx D prior D) 10 23 19.pdf,Tue Jun  9 15:23:08 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (3OOC G, CMP, CF prior D, prior D) 12 18 19.pdf",Enforcement Letter,12/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2019/Life Care of Kennewick (3OOC G, CMP, CF prior D, prior D) 12 18 19.pdf",Tue Jun  9 15:23:10 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care of Kennewick (Hx D prior E) 6 21 19.pdf,Enforcement Letter,07/2019,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2019/Life Care of Kennewick (Hx D prior E) 6 21 19.pdf,Tue Jun  9 15:23:12 2020
43505,LIFE CARE CENTER OF KENNEWICK,"Life Care of Kennewick (Hx G, CMP, CF, prior F) 4 15 19.pdf",Enforcement Letter,04/2019,"https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2019/Life Care of Kennewick (Hx G, CMP, CF, prior F) 4 15 19.pdf",Tue Jun  9 15:23:14 2020
43505,LIFE CARE CENTER OF KENNEWICK,Life Care of Kennewick (BIC-Lift SP) 5 31 2018.pdf,Enforcement Letter,06/2018,https://fortress.wa.gov/dshs/adsaapps/lookup/RCSForms/NF/1381/enforcement letter/2018/Life Care of Kennewick (BIC-Lift SP) 5 31 2018.pdf,Tue Jun  9 15:23:15 2020
