pdf_name,page,image_based,letter_dt,survey_dt,survey_type,vendor_num,fed_num,aem_num,action,fed_enforcement,nc_hist,epoc,state_rem,appeal_rights,finding_code,finding_desc,wac_long,wac_short,subchp_num,subchp_name,section,section_desc,cmp_item,cmp_agg
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",1,FALSE,4/12/18,4/6/18,unannounced complaint investigation ,4115441,505355,WADC9Q,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",2,FALSE,4/12/18,4/6/18,unannounced complaint investigation ,4115441,505355,WADC9Q,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,FALSE,,,388-97-1060(3)(g),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",3,FALSE,4/12/18,4/6/18,unannounced complaint investigation ,4115441,505355,WADC9Q,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",4,FALSE,4/12/18,4/6/18,unannounced complaint investigation ,4115441,505355,WADC9Q,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,1000
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",5,FALSE,4/12/18,4/6/18,unannounced complaint investigation ,4115441,505355,WADC9Q,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",1,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",2,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,FALSE,FALSE,E,a pattern of deficiencies that constitute no actual harm with potential for more than minimal harm that is not immediate jeopardy,,,,,,,,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",3,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,TRUE,,,388-97-1060(1),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,500,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",3,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,TRUE,,,388-97-1060(3)(b),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1500,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",3,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,TRUE,,,388-97-1060(3)(b),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",4,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",5,FALSE,1/4/19,,,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,3000
Alaska Gardens (Hx D prior E) 7 16.pdf,1,FALSE,6/28/17,6/21/17,complaint investigation ,4113973,505483,WA1R51,,FALSE,TRUE,FALSE,FALSE,FALSE,D,isolated deficiencies that constitute no actual harm with potential for more than minimal harm that is not immediate jeopardy,,,,,,,,
Alaska Gardens (Hx D prior E) 7 16.pdf,2,FALSE,6/28/17,6/21/17,complaint investigation ,4113973,505483,WA1R51,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,
Alaska Gardens (Hx D prior E) 7 16.pdf,3,FALSE,6/28/17,6/21/17,complaint investigation ,4113973,505483,WA1R51,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
Alaska Gardens (Hx D prior E) 7 16.pdf,4,FALSE,6/28/17,6/21/17,complaint investigation ,4113973,505483,WA1R51,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
Alaska Gardens (Hx F prior D) 8 9 18.pdf,1,FALSE,8/23/18,8/9/18,unannounced complaint investigation ,4113973,505483,WAZZXC,,FALSE,TRUE,FALSE,FALSE,FALSE,F,widespread deficiencies that constitute no actual harm with potential for more than minimal harm that is not immediate jeopardy,,,,,,,,
Alaska Gardens (Hx F prior D) 8 9 18.pdf,2,FALSE,8/23/18,8/9/18,unannounced complaint investigation ,4113973,505483,WAZZXC,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,
Alaska Gardens (Hx F prior D) 8 9 18.pdf,3,FALSE,8/23/18,8/9/18,unannounced complaint investigation ,4113973,505483,WAZZXC,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
Alaska Gardens (Hx F prior D) 8 9 18.pdf,4,FALSE,8/23/18,8/9/18,unannounced complaint investigation ,4113973,505483,WAZZXC,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",1,FALSE,12/3/18,11/16/18,unannounced complaint investigation ,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,TRUE,FALSE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",2,FALSE,12/3/18,11/16/18,unannounced complaint investigation ,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",3,FALSE,12/3/18,11/16/18,unannounced complaint investigation ,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(3)(b),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,2000,
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",3,FALSE,12/3/18,11/16/18,unannounced complaint investigation ,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(3)(i),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1000,
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",4,FALSE,12/3/18,11/16/18,unannounced complaint investigation ,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,3000
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",5,FALSE,12/3/18,11/16/18,unannounced complaint investigation ,4113973,505483,WPWF9,IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",1,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,TRUE,FALSE,FALSE,FALSE,K,a pattern of deficiencies that constitute immediate jeopardy to resident health and safety,,,,,,,,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",2,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,TRUE,FALSE,FALSE,G,isolated deficiencies that constitute actual harm that is not immediate jeopardy,,,,,,,,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",3,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",4,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-0640(1),388-97-0640,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,Prevention of abuse.,3000,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",4,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1260(3)(c),388-97-1260,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Physician Services,Physician services.,1500,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",4,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,TRUE,,,388-97-1060(3)(k),388-97-1060,SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Quality of Care,Quality of care.,1500,
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",5,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,6000
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",6,FALSE,2/1/19,1/17/19,unannounced abbreviated complaint investigation ,4113973,505483,WAPWF9,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
"Alaska Gardens (Lift SP, BIC) 2 14 19.pdf",1,FALSE,2/21/19,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
