pdf_name,manual_cms_number,facility_name,letter_dt,survey_dt,survey_type,wac_short,wac_long,section,cmp_item,cmp_agg,finding_code,action,fed_enforcement,nc_hist,epoc,state_rem,appeal_rights
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",505355,ADVANCED POST ACUTE,2018-04-12,2018-04-06,unannounced complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,False,True,False,False
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",505355,ADVANCED POST ACUTE,2018-04-12,2018-04-06,unannounced complaint investigation ,388-97-1060,388-97-1060(3)(g),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,False
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",505355,ADVANCED POST ACUTE,2018-04-12,2018-04-06,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",505355,ADVANCED POST ACUTE,2018-04-12,2018-04-06,unannounced complaint investigation ,,,,,1000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Advance Post Acute (G, CMP, CF) 4 6 18.pdf",505355,ADVANCED POST ACUTE,2018-04-12,2018-04-06,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,,,,,,G,IMPOSITION OF CIVIL FINES,False,True,False,False,False
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,,,,,,E,IMPOSITION OF CIVIL FINES,False,False,True,False,False
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,388-97-1060,388-97-1060(1),Quality of Care,500.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,True
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,388-97-1060,388-97-1060(3)(b),Quality of Care,1500.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,True
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,388-97-1060,388-97-1060(3)(b),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,True,True
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alaska Gardens (FP, Hx G, prior E, CMP, CF) 12 19 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-01-04,,,,,,,3000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
Alaska Gardens (Hx D prior E) 7 16.pdf,505483,ALASKA GARDENS HEALTH AND REHABILITATION,2017-06-28,2017-06-21,complaint investigation ,,,,,,D,,False,True,False,False,False
Alaska Gardens (Hx D prior E) 7 16.pdf,505483,ALASKA GARDENS HEALTH AND REHABILITATION,2017-06-28,2017-06-21,complaint investigation ,,,,,,,,False,False,True,True,True
Alaska Gardens (Hx D prior E) 7 16.pdf,505483,ALASKA GARDENS HEALTH AND REHABILITATION,2017-06-28,2017-06-21,complaint investigation ,,,,,,,,False,False,False,False,False
Alaska Gardens (Hx F prior D) 8 9 18.pdf,505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-08-23,2018-08-09,unannounced complaint investigation ,,,,,,F,,False,True,False,False,False
Alaska Gardens (Hx F prior D) 8 9 18.pdf,505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-08-23,2018-08-09,unannounced complaint investigation ,,,,,,,,False,False,True,True,True
Alaska Gardens (Hx F prior D) 8 9 18.pdf,505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-08-23,2018-08-09,unannounced complaint investigation ,,,,,,,,False,False,False,False,False
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-12-03,2018-11-16,unannounced complaint investigation ,,,,,,G,IMPOSITION OF CIVIL FINES,False,True,False,False,False
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-12-03,2018-11-16,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,True,True,False
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-12-03,2018-11-16,unannounced complaint investigation ,388-97-1060,388-97-1060(3)(b),Quality of Care,2000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-12-03,2018-11-16,unannounced complaint investigation ,388-97-1060,388-97-1060(3)(i),Quality of Care,1000.0,,,IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-12-03,2018-11-16,unannounced complaint investigation ,,,,,3000.0,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alaska Gardens (Hx G, prior E) 11 16 18.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2018-12-03,2018-11-16,unannounced complaint investigation ,,,,,,,IMPOSITION OF CIVIL FINES,False,False,False,False,False
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,,,,,,K,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,True,False,False,False
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,,,,,,G,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,True,False,False
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,,,,,,,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,False,True,False
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,388-97-0640,388-97-0640(1),Resident Rights,3000.0,,,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,388-97-1260,388-97-1260(3)(c),Physician Services,1500.0,,,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,388-97-1060,388-97-1060(3)(k),Quality of Care,1500.0,,,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,False,False,True
"Alaska Gardens (K, HX Prior Fg, Prior G, Prior D, SUB, SP, CMP, CF) 1 17 19.pdf",505483,ALASKA GARDENS HEALTH AND REHABILITATION,2019-02-01,2019-01-17,unannounced abbreviated complaint investigation ,,,,,6000.0,,CONTINUED STOP PLACEMENT ON A LICENSE IMPOSITION OF CIVIL FINES,False,False,False,False,False
