facility_name,facility_id,eventid,inspection_dt,tag,tag_group_num,tag_group_name,tag_old_new,severity_code,severity_desc,complaint,standard
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,DY4R11,2017-04-26,514,483.70,Administration,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,253,483.10,Resident Rights,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,279,483.21,Comprehensive Resident Centered Care Plans,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,328,483.25,Quality of Care,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,329,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,425,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,441,483.80,Infection Control,Old,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,458,483.90,Physical Environment,Old,B,No actual harm with potential for minimal harm - Pattern,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,PWON11,2017-08-29,514,483.70,Administration,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,552,483.10,Resident Rights,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,641,483.20,Resident Assessment and Plan of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,657,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,658,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,684,483.25,Quality of Care,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,755,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,761,483.45,Pharmacy Services,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,804,483.60,Food Services Areas,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,812,483.60,Food Services Areas,New,E,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Pattern,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,842,483.70,Administration,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,880,483.80,Infection Control,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,881,483.80,Infection Control,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,LGLY11,2018-11-14,912,483.90,Physical Environment,New,B,No actual harm with potential for minimal harm - Pattern,0.0,1.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,WMDP11,2019-02-27,661,483.21,Comprehensive Resident Centered Care Plans,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
ISSAQUAH NURSING AND REHABILITATION CENTER,505004,1WEH11,2019-11-04,678,483.24,Quality of Life,New,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,0.0
PARK RIDGE CARE CENTER,505009,QC9611,2017-07-18,248,483.24,Quality of Life,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
PARK RIDGE CARE CENTER,505009,QC9611,2017-07-18,329,483.45,Pharmacy Services,Old,D,No actual harm with potential for more than minimal harm that is not immediate jeopardy - Isolated,1.0,1.0
