sub_chp_num,sub_chp_name,section,ttl_chp_sec,ttl_chp_sec_desc
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Definitions,388-97-0001,Definitions.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0020,Nursing facility care.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0040,Discrimination prohibited.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0060,Nursing facility admission and payment requirements.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0080,Discharge planning.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0100,Utilization review.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0120,Individual transfer and discharge rights and procedures.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0140,Transfer and discharge appeals for resident in medicare or medicaid certified facilities.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES","Admission, Transfer and Discharge",388-97-0160,Discharge or leave of a nursing facility resident.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0180,Resident rights.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0200,Free choice.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0220,"Statute implemented in resident decision making, informed consent, and advance directives."
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0240,Resident decision making.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0260,Informed consent.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0280,Advance directives.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0300,Notice of rights and services.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0320,Notification of changes.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0340,Protection of resident funds.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0360,Privacy and confidentiality.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0380,Electronic monitoring equipment—Audio monitoring and video monitoring.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0400,Electronic monitoring equipment—Resident requested use.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0420,Work.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0440,Self-administration of drugs.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0460,Grievance rights.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0480,Examination of survey results.
SUBCHAPTER I,"RESIDENT RIGHTS, CARE AND RELATED SERVICES",Resident Rights,388-97-0500,Resident mail.
