area,ttl_chp,ttl_chp_desc,ttl_chp_link
GENERAL, 388-01,DSHS organization/disclosure of public records.,default.aspx?cite=388-01
GENERAL, 388-02,DSHS hearing rules.,default.aspx?cite=388-02
GENERAL, 388-03,"Certification of DSHS spoken language interpreters, translators, employees, and licensed agency personnel (LAPL).",default.aspx?cite=388-03
GENERAL, 388-04,Protection of human research subjects. ,default.aspx?cite=388-04
GENERAL, 388-05,Contractor billing requirements—General.,default.aspx?cite=388-05
GENERAL, 388-06,Background checks.,default.aspx?cite=388-06
GENERAL, 388-06B,DSHS employee background checks.,default.aspx?cite=388-06B
CHILD SUPPORT, 388-14A,Division of child support rules.,default.aspx?cite=388-14A
DOMESTIC VIOLENCE, 388-60B,Domestic violence perpetrator treatment program standards.,default.aspx?cite=388-60B
DOMESTIC VIOLENCE, 388-61,Family violence.,default.aspx?cite=388-61
DOMESTIC VIOLENCE, 388-61A,Domestic violence victim services and prevention efforts.,default.aspx?cite=388-61A
AGING AND ADULT SERVICES, 388-71,Home and community services and programs.,default.aspx?cite=388-71
AGING AND ADULT SERVICES, 388-76,Adult family home minimum licensing requirements.,default.aspx?cite=388-76
AGING AND ADULT SERVICES, 388-78A,Assisted living facility licensing rules.,default.aspx?cite=388-78A
AGING AND ADULT SERVICES, 388-79A,Guardianship fees for medicaid clients.,default.aspx?cite=388-79A
AGING AND ADULT SERVICES, 388-96,Nursing facility medicaid payment system.,default.aspx?cite=388-96
AGING AND ADULT SERVICES, 388-97,Nursing homes.,default.aspx?cite=388-97
AGING AND ADULT SERVICES, 388-101,Certified community residential services and supports.,default.aspx?cite=388-101
AGING AND ADULT SERVICES, 388-101D,Requirements for providers of residential services and supports.,default.aspx?cite=388-101D
AGING AND ADULT SERVICES, 388-102,Online registry of continuing care retirement communities (CCRC).,default.aspx?cite=388-102
AGING AND ADULT SERVICES, 388-105,Medicaid rates for contracted home and community residential care services.,default.aspx?cite=388-105
AGING AND ADULT SERVICES, 388-106,Long-term care services.,default.aspx?cite=388-106
AGING AND ADULT SERVICES, 388-107,Licensing requirements for enhanced services facilities.,default.aspx?cite=388-107
AGING AND ADULT SERVICES, 388-110,Contracted residential care services.,default.aspx?cite=388-110
AGING AND ADULT SERVICES, 388-111,Residential habilitation centers—Compliance standards.,default.aspx?cite=388-111
AGING AND ADULT SERVICES, 388-112A,Residential long-term care services training.,default.aspx?cite=388-112A
AGING AND ADULT SERVICES, 388-113,Disqualifying crimes and negative actions.,default.aspx?cite=388-113
AGING AND ADULT SERVICES, 388-114,Travel time and work week limitations for individual providers.,default.aspx?cite=388-114
ASSISTANCE PROGRAMS, 388-271,Limited English proficient services.,default.aspx?cite=388-271
ASSISTANCE PROGRAMS, 388-280,United States repatriation program.,default.aspx?cite=388-280
ASSISTANCE PROGRAMS, 388-310,WorkFirst.,default.aspx?cite=388-310
ASSISTANCE PROGRAMS, 388-315,Tribal TANF.,default.aspx?cite=388-315
ASSISTANCE PROGRAMS, 388-400,Program summary.,default.aspx?cite=388-400
ASSISTANCE PROGRAMS, 388-404,Age requirements.,default.aspx?cite=388-404
ASSISTANCE PROGRAMS, 388-406,Applications.,default.aspx?cite=388-406
ASSISTANCE PROGRAMS, 388-408,Assistance units.,default.aspx?cite=388-408
ASSISTANCE PROGRAMS, 388-410,Benefit error.,default.aspx?cite=388-410
ASSISTANCE PROGRAMS, 388-412,Benefit issuances.,default.aspx?cite=388-412
ASSISTANCE PROGRAMS, 388-414,Categorical eligibility for food assistance.,default.aspx?cite=388-414
ASSISTANCE PROGRAMS, 388-416,Certification periods.,default.aspx?cite=388-416
ASSISTANCE PROGRAMS, 388-418,Change of circumstance.,default.aspx?cite=388-418
ASSISTANCE PROGRAMS, 388-420,Chemical dependency food assistance.,default.aspx?cite=388-420
ASSISTANCE PROGRAMS, 388-422,Child support.,default.aspx?cite=388-422
ASSISTANCE PROGRAMS, 388-424,Citizenship/alien status.,default.aspx?cite=388-424
ASSISTANCE PROGRAMS, 388-426,Client complaints.,default.aspx?cite=388-426
ASSISTANCE PROGRAMS, 388-428,Confidentiality.,default.aspx?cite=388-428
ASSISTANCE PROGRAMS, 388-432,Diversion assistance.,default.aspx?cite=388-432
ASSISTANCE PROGRAMS, 388-434,Eligibility reviews and recertifications.,default.aspx?cite=388-434
ASSISTANCE PROGRAMS, 388-436,Emergency cash assistance.,default.aspx?cite=388-436
ASSISTANCE PROGRAMS, 388-437,Emergency assistance for food stamps.,default.aspx?cite=388-437
ASSISTANCE PROGRAMS, 388-440,Exception to rule.,default.aspx?cite=388-440
